/home/louis/Workspace/NYCU/Classes/113_1/Reinforcement_learning/RL_LAB4_313551153_施儒宏/src/base_agent.py:204: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(load_path)
/home/louis/miniconda3/envs/RL/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
==============================================
Evaluating...
Episode: 1	Length: 834	Total reward: 916.50
Episode: 2	Length: 784	Total reward: 921.50
Episode: 3	Length: 765	Total reward: 923.40
Episode: 4	Length: 872	Total reward: 912.70
Episode: 5	Length: 825	Total reward: 917.40
Episode: 6	Length: 999	Total reward: 896.25
Episode: 7	Length: 889	Total reward: 911.00
Episode: 8	Length: 737	Total reward: 926.20
Episode: 9	Length: 819	Total reward: 918.00
Episode: 10	Length: 707	Total reward: 929.20
Episode: 11	Length: 999	Total reward: 886.67
Episode: 12	Length: 715	Total reward: 928.40
Episode: 13	Length: 686	Total reward: 931.30
Episode: 14	Length: 793	Total reward: 920.60
Episode: 15	Length: 708	Total reward: 929.10
Episode: 16	Length: 832	Total reward: 916.70
Episode: 17	Length: 752	Total reward: 924.70
Episode: 18	Length: 685	Total reward: 931.40
Episode: 19	Length: 766	Total reward: 923.30
Episode: 20	Length: 717	Total reward: 928.20
Episode: 21	Length: 946	Total reward: 905.30
Episode: 22	Length: 802	Total reward: 919.70
Episode: 23	Length: 775	Total reward: 922.40
Episode: 24	Length: 816	Total reward: 918.30
Episode: 25	Length: 999	Total reward: 894.32
Episode: 26	Length: 793	Total reward: 920.60
Episode: 27	Length: 872	Total reward: 912.70
Episode: 28	Length: 823	Total reward: 917.60
Episode: 29	Length: 779	Total reward: 922.00
Episode: 30	Length: 750	Total reward: 924.90
Episode: 31	Length: 709	Total reward: 929.00
Episode: 32	Length: 803	Total reward: 919.60
Episode: 33	Length: 738	Total reward: 812.70
Episode: 34	Length: 700	Total reward: 929.90
Episode: 35	Length: 855	Total reward: 914.40
Episode: 36	Length: 705	Total reward: 929.40
Episode: 37	Length: 906	Total reward: 909.30
Episode: 38	Length: 695	Total reward: 930.40
Episode: 39	Length: 791	Total reward: 920.80
Episode: 40	Length: 763	Total reward: 923.60
Episode: 41	Length: 872	Total reward: 912.70
Episode: 42	Length: 413	Total reward: 364.76
Episode: 43	Length: 690	Total reward: 930.90
Episode: 44	Length: 416	Total reward: 519.64
Episode: 45	Length: 826	Total reward: 917.30
Episode: 46	Length: 847	Total reward: 915.20
Episode: 47	Length: 683	Total reward: 931.60
Episode: 48	Length: 839	Total reward: 916.00
Episode: 49	Length: 832	Total reward: 916.70
Episode: 50	Length: 786	Total reward: 921.30
Episode: 51	Length: 699	Total reward: 930.00
Episode: 52	Length: 871	Total reward: 912.80
Episode: 53	Length: 863	Total reward: 913.60
Episode: 54	Length: 873	Total reward: 912.60
Episode: 55	Length: 742	Total reward: 925.70
Episode: 56	Length: 793	Total reward: 920.60
Episode: 57	Length: 801	Total reward: 919.80
Episode: 58	Length: 762	Total reward: 923.70
Episode: 59	Length: 661	Total reward: 933.80
Episode: 60	Length: 720	Total reward: 927.90
Episode: 61	Length: 798	Total reward: 920.10
Episode: 62	Length: 796	Total reward: 920.30
Episode: 63	Length: 806	Total reward: 919.30
Episode: 64	Length: 813	Total reward: 918.60
Episode: 65	Length: 815	Total reward: 918.40
Episode: 66	Length: 709	Total reward: 929.00
Episode: 67	Length: 747	Total reward: 925.20
Episode: 68	Length: 776	Total reward: 922.30
Episode: 69	Length: 124	Total reward: 92.40
Episode: 70	Length: 122	Total reward: 93.71
Episode: 71	Length: 824	Total reward: 917.50
Episode: 72	Length: 742	Total reward: 925.70
Episode: 73	Length: 762	Total reward: 923.70
Episode: 74	Length: 783	Total reward: 921.60
Episode: 75	Length: 810	Total reward: 918.90
Episode: 76	Length: 759	Total reward: 924.00
Episode: 77	Length: 999	Total reward: 880.87
Episode: 78	Length: 450	Total reward: 457.99
Episode: 79	Length: 780	Total reward: 921.90
Episode: 80	Length: 876	Total reward: 912.30
Episode: 81	Length: 871	Total reward: 912.80
Episode: 82	Length: 877	Total reward: 912.20
Episode: 83	Length: 833	Total reward: 916.60
Episode: 84	Length: 778	Total reward: 922.10
Episode: 85	Length: 870	Total reward: 912.90
Episode: 86	Length: 950	Total reward: 904.90
Episode: 87	Length: 702	Total reward: 713.24
Episode: 88	Length: 805	Total reward: 919.40
Episode: 89	Length: 800	Total reward: 919.90
Episode: 90	Length: 999	Total reward: 886.44
Episode: 91	Length: 800	Total reward: 919.90
Episode: 92	Length: 795	Total reward: 920.40
Episode: 93	Length: 748	Total reward: 925.10
Episode: 94	Length: 817	Total reward: 918.20
Episode: 95	Length: 753	Total reward: 924.60
Episode: 96	Length: 726	Total reward: 927.30
Episode: 97	Length: 781	Total reward: 921.80
Episode: 98	Length: 746	Total reward: 925.30
Episode: 99	Length: 843	Total reward: 915.60
Episode: 100	Length: 839	Total reward: 916.00
average score: 885.3447839528251
==============================================
